Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
415,Tristan Thompson\thomptr01,C,28,CLE,19,19,31.4,5.8,11.5,0.509,0.2,0.4,0.429,5.7,11.1,0.512,0.516,2.1,3.4,0.609,4.2,6.4,10.6,2.2,0.8,1.2,1.5,2.5,13.9
416,Matisse Thybulle\thybuma01,SG,22,PHI,20,3,15.6,1.4,3.5,0.406,0.8,1.9,0.432,0.6,1.6,0.375,0.522,0.6,0.9,0.706,0.2,0.9,1.1,1,1.5,0.7,1.1,2.4,4.2
417,Anthony Tolliver\tollian01,PF,34,POR,16,7,16.9,1.1,3.6,0.293,0.8,2.9,0.283,0.3,0.8,0.333,0.405,0.6,0.7,0.818,0.6,2.6,3.2,0.7,0.2,0.4,0.6,1.3,3.5
418,Karl-Anthony Towns\townska01,C,24,MIN,18,18,33.3,8.8,17.6,0.503,3.7,8.7,0.427,5.1,8.8,0.579,0.609,4.6,5.7,0.804,2.7,9.7,12.3,4.3,1,1.4,3.2,3.3,25.9
419,Gary Trent\trentga02,SG,21,POR,11,1,8.5,1.4,3,0.455,1,2.1,0.478,0.4,0.9,0.4,0.621,0,0,,0.3,0.8,1.1,0.5,0.2,0.2,0.2,0.6,3.7
420,Allonzo Trier\trieral01,PG,24,NYK,10,1,13.6,2.2,4.3,0.512,1.2,2.6,0.462,1,1.7,0.588,0.651,2.1,2.6,0.808,0.1,1.4,1.5,1.4,0.2,0.3,1.5,2.1,7.7
421,P.J. Tucker\tuckepj01,PF,34,HOU,20,20,35.6,3.6,6.7,0.534,1.9,4.2,0.458,1.7,2.5,0.66,0.677,0.8,0.9,0.833,1.5,4.8,6.3,1.5,1.5,0.6,1,3.3,9.8
422,Evan Turner\turneev01,PG,31,ATL,14,0,13.9,1.6,4.1,0.397,0,0.3,0,1.6,3.9,0.426,0.397,0.9,1,0.857,0.5,1.6,2.1,2.3,0.6,0.6,1.4,1.1,4.1
423,Myles Turner\turnemy01,C,23,IND,13,13,30.7,4.4,9.6,0.456,1.6,4.1,0.396,2.8,5.5,0.5,0.54,1.8,2.4,0.742,1.5,4.3,5.8,1,0.5,2.2,1.6,2.5,12.2
424,Jonas Valančiūnas\valanjo01,C,27,MEM,19,19,24.8,6.1,10.7,0.567,0.5,1.6,0.333,5.5,9.1,0.607,0.591,1.9,2.3,0.837,2.7,7.3,10,1.8,0.4,0.9,2.2,2.7,14.5
425,Denzel Valentine\valende01,SF,26,CHI,8,0,8.8,1.8,4.3,0.412,1.1,2.9,0.391,0.6,1.4,0.455,0.544,0,0,,0.3,1.9,2.1,0.8,0.4,0.1,0.3,1,4.6
426,Jarred Vanderbilt\vandeja01,SF,20,DEN,3,0,3,0,0,,0,0,,0,0,,,0,0,,0,0.7,0.7,0.3,0,0,0.3,0,0
427,Fred VanVleet\vanvlfr01,PG,25,TOR,20,20,37.8,6,14.7,0.405,2.8,7,0.396,3.2,7.8,0.413,0.498,4,4.6,0.879,0.2,3.6,3.8,7.4,2,0.1,2.5,2.4,18.7
428,Noah Vonleh\vonleno01,C,24,MIN,14,1,12.6,1.4,3.1,0.465,0.1,0.7,0.1,1.4,2.4,0.576,0.477,1.1,1.4,0.842,1.2,2.4,3.6,1.1,0.3,0.2,0.9,1.4,4.1
429,Nikola Vučević\vucevni01,C,29,ORL,14,14,30.8,6.8,15.1,0.45,1.1,3.6,0.32,5.6,11.5,0.491,0.488,2.4,2.8,0.846,2.9,8.6,11.6,3.5,0.6,1.1,1.4,1.9,17.1
430,Dean Wade\wadede01,PF,23,CLE,3,0,6,0.3,0.7,0.5,0.3,0.3,1,0,0.3,0,0.75,0,0,,0,0.7,0.7,0,0.3,0,0,1,1
431,Moritz Wagner\wagnemo01,C,22,WAS,17,0,19.4,4.6,7.6,0.608,1.1,2.6,0.432,3.5,5.1,0.698,0.681,1.6,1.9,0.844,1.5,4.1,5.6,1.4,0.7,0.7,2.4,3.9,12
